DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,INDIANA,1.957,0.307,0,0,2.264,50.77,2.008,0.202,0,52.98,3.448,0.763,6.57,0,10.781,9.167,13.135,33.021,0,55.323,74.136,33.164,5.161,0,112.461,625.333,115.581,1.559,0,742.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.811,164.958,46.513,0,976.282,0,0,0,0,0,0,764.811,164.958,46.513,0,976.282
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,IOWA,0.616,0,0.01,0,0.626,94.979,4.41,3.312,0,102.701,79.858,5.595,4.138,0,89.591,73.284,1.086,0,0,74.37,17.626,0,0,0,17.626,316.637,0,0,0,316.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,11.091,7.46,0,601.551,0,0,0,0,0,0,583,11.091,7.46,0,601.551
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KANSAS,0,0,0,0,0,2.678,0,0,0,2.678,8.142,0,0,0,8.142,1.736,0.251,0,0,1.987,27.194,0.052,0,0,27.246,787.643,4.184,0.212,0,792.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827.393,4.487,0.212,0,832.092,0,0,0,0,0,0,827.393,4.487,0.212,0,832.092
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KENTUCKY,0,0,0,0,0,3.8,0,0,0,3.8,0.002,0,0,0,0.002,1.886,0.057,0,0,1.943,12.284,3.853,0,0,16.137,245.701,10.538,0,0,256.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.673,14.448,0,0,278.121,0,0,0,0,0,0,263.673,14.448,0,0,278.121
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0.597,0,0,0,0.597,12.23,1.391,2.45,0,16.071,36.586,5.917,1.7,0,44.203,50.11,12.203,6.686,0,68.999,756.621,65.249,0.666,0,822.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856.144,84.76,11.502,0,952.406,0,0,0,0,0,0,856.144,84.76,11.502,0,952.406
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MICHIGAN,0.574,0.031,0.015,0,0.62,106.44,13.306,3.577,0,123.323,89.513,24.631,9.798,0,123.942,138.579,26.115,36.849,0,201.543,195.294,93.976,26.173,0,315.443,448.493,96.897,0.458,0,545.848,0.003,0,0,0,0.003,0.433,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,979.329,254.956,76.87,0,1311.155,0,0,0,0,0,0,979.329,254.956,76.87,0,1311.155
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,0,0,0,0,1.545,0.805,1.233,0,3.583,7.941,3.117,7.247,0,18.305,7.998,3.595,2.726,0,14.319,299.711,37.01,0.03,0,336.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.195,44.527,11.236,0,372.958,0,0,0,0,0,0,317.195,44.527,11.236,0,372.958
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSOURI,1.798,0,0,0,1.798,50.645,0.856,0.15,0,51.651,4.239,0.378,0.436,0,5.053,6.185,0.775,0.998,0,7.958,4.252,0,0.662,0,4.914,200.69,0,0.148,0,200.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.809,2.009,2.394,0,272.212,0,0,0,0,0,0,267.809,2.009,2.394,0,272.212
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,NEBRASKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0,0.236,0.538,0,0,0,0.538,7.869,0,0,0,7.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.643,0,0,0,8.643,0,0,0,0,0,0,8.643,0,0,0,8.643
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OHIO,0.074,0,0,0,0.074,15.931,1.267,0.316,0,17.514,0.447,0.28,2.431,0,3.158,18.659,12.964,16.369,0,47.992,13.607,4.971,2.848,0,21.426,214.996,10.793,0.355,0,226.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.714,30.275,22.319,0,316.308,0,0,0,0,0,0,263.714,30.275,22.319,0,316.308
