DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTF1A,PARTF1B,PARTF1C,PARTF1D,PARTF1DOTH,PARTF1E,PARTF2A,PARTF2B,PARTF2C,PARTF2C1,PARTF2C2,PARTF2C3,PARTF2C4,PARTF3A,PARTF3B,PARTF3C,PARTF3D,PARTF4A,PARTF4A1,PARTF4A2,PARTF4A3,PARTF4B,PARTF4B1,PARTF4B2,PARTF4B3,PARTF4C,PARTF4C1,PARTF4C2,PARTF4C3,PARTF4C4,PARTF5A,PARTF5AOTH,PARTF5B,PARTF5C,PARTF5C1,PARTF5C2,PARTF5C3,PARTF5C4,PARTF6A,PARTF6B,PARTF6C,PARTF6D,PARTF6E,PARTGMBA,PARTGMRC,PARTGTOTMILES
03/01/22,2020,20210494,38773,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,,229.19,125.2,0,300.59,IMU / MFL-HS,654.98,135,134,34,0,0,0,34,0,0,0,0,2.42,1.21,1.21,0,1,0,1,0,1,0,0,0,1,0,,0,0,0,0,0,0,657.4,135,35,6,0,28.9,39.02,67.92
03/01/22,2020,20210418,38689,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,KANSAS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,0,0,,,,,,
03/01/22,2020,20210418,38689,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,,1037.68,1051.73,799.51,248.58,Hard Spot,3137.5,157,85,0,0,0,0,0,0,0,0,0,179.64,15.95,,163.69,16,12,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,3317.14,101,0,0,0,0,27.37,27.37
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTRASTATE,MICHIGAN,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,,,
03/01/22,2020,20211210,39649,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,,,
03/01/22,2020,20211213,39534,515,DAKOTA GASIFICATION COMPANY,Synthetic Gas,INTRASTATE,NORTH DAKOTA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210509,38788,570,FERNDALE PIPELINE SYSTEM,Natural Gas,INTRASTATE,WASHINGTON,4.5,4.5,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,0,0.4,0.4
03/01/22,2020,20210162,38405,585,ARGYLE MUNICIPAL GAS SYSTEM,Natural Gas,INTRASTATE,MINNESOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210844,39144,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,,226.4,226.4,0,226.4,Internal Mapping Unit,679.2,24,10,0,0,0,0,0,0,0,0,0,12.15,4.82,4.82,2.51,1,1,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,691.35,11,1,0,0,0,2.5,2.5
