DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTOFFC1,PARTLTOFFTOT,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL,PARTLTONIMP,PARTLTOFFIMP,PARTLTOTALIMP
03/01/22,2018,20190889,36245,39266,URBAN OIL & GAS GROUP,Natural Gas,INTRASTATE,ALABAMA,2.38,0,2.16,0,4.54,0,0,2.38,0,2.16,0,4.54,9.15,0,0,9.15,0,0,0,0,0,0,0,9.15,0,0,9.15,2.38,9.15,2.16,0,13.69,2.16,,2.16
03/01/22,2018,20190889,36245,39266,URBAN OIL & GAS GROUP,Natural Gas,INTRASTATE,TEXAS,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0.15,1.33,1.15,0,2.48,0,0,0,0,0,0,0,1.33,1.15,0,2.48,0.15,1.33,1.15,0,2.63,,,
03/01/22,2018,20191065,36429,39267,"EAGLERIDGE OPERATING, LLC",Natural Gas,INTRASTATE,TEXAS,0,0,3.47,0,3.47,0,0,0,0,3.47,0,3.47,8.42,12.04,0,20.46,0,27.96,0,27.96,0,0,0,8.42,40,0,48.42,0,8.42,43.47,0,51.89,,,
03/01/22,2018,20190581,35925,39269,"WHITE OAK OPERATING COMPANY, LLC",Natural Gas,INTRASTATE,LOUISIANA,0.57,0,0,0,0.57,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,,,
03/01/22,2018,20190581,35925,39269,"WHITE OAK OPERATING COMPANY, LLC",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,2.95,0,0,0,0,0,0,0,0,2.95,0,2.95,0,0,2.95,0,2.95,,,
03/01/22,2018,20190433,35770,39270,"COMMERCE MIDSTREAM, LLC",Natural Gas,INTRASTATE,TEXAS,0,0,12.841,0,12.841,0,0,0,0,12.841,0,12.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.841,0,12.841,,,
03/01/22,2018,20190607,35952,39271,EAGLECLAW MIDSTREAM VENTURES,Natural Gas,INTRASTATE,TEXAS,2.322,0,0,0,2.322,0,0,2.322,0,0,0,2.322,0,2.09,0,2.09,0,0,0,0,0,0,0,0,2.09,0,2.09,2.322,0,2.09,0,4.412,2.097,,2.097
03/01/22,2018,20190052,35355,39273,ARIA ENERGY,Landfill Gas,INTRASTATE,VIRGINIA,0,0,3.06,0,3.06,0,0,0,0,3.06,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,3.06,2.417,,2.417
03/01/22,2018,20190067,35371,39275,"WACKER POLYSILICON NORTH AMERICA, LLC",Other Gas-Chlorine,INTRASTATE,TENNESSEE,0,0,0,0.84,0.84,0,0,0,0,0,0.84,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.84,0.84,,0.84
03/01/22,2018,20190283,35602,39276,OLIN CORPORATION,Other Gas-Chlorine,INTRASTATE,TENNESSEE,0,0.87,0,0,0.87,0,0,0,0.87,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0.87,0.87,,0.87
