DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLHIGHPOPON,PARTLOTHPOPON,PARTLDWON,PARTLECRESON,PARTLCNAVWON,PARTLSEGMILESTOTALON,PARTLECRESOFF,PARTLCNAVWOFF,PARTLSEGMILESTOTALOFF
3/1/2022,2018,20190539,16970,26120,COLLINS PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSISSIPPI,0,1.7,0,33.3,0,35,,,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,CALIFORNIA,63.17,104.19,105.72,195.18,0,265.78,,,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEVADA,58.87,15.79,58.38,22.94,0,86.1,,,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,2.53,9.37,9.96,33.36,0,41.06,,,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEVADA,0,0,0,0,0,0,,,
3/1/2022,2018,20190238,16651,26134,EXXONMOBIL OIL CORP - WEST COAST,Crude Oil,INTRASTATE,CALIFORNIA,0,0,1.72,1.72,0,1.72,,,
3/1/2022,2018,20190239,16652,26134,EXXONMOBIL OIL CORP - WEST COAST,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0,0,0,0,0,0,,,
3/1/2022,2018,20190668,17145,26136,PARAMOUNT PETROLEUM CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,8.72,0,0,0,0,8.72,,,
3/1/2022,2018,20190315,16737,26149,ALYESKA PIPELINE SERVICE CO,Crude Oil,INTERSTATE,ALASKA,14.59,281.37,131.29,26.55,71.21,382.4,,,
3/1/2022,2018,20190505,16936,26302,MUSTANG PIPELINE CO,HVL,INTRASTATE,TEXAS,13.12,11.584,0,0,0,24.704,,,
3/1/2022,2018,20190196,16607,26303,UNOCAL PIPELINE CO - EASTERN REGION,Crude Oil,INTRASTATE,TEXAS,4.2,0.1,2.8,0,0,4.7,,,
3/1/2022,2018,20190093,16487,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",HVL,INTRASTATE,OKLAHOMA,0,0.08,,,,0.08,,,
3/1/2022,2018,20190605,17073,30003,HOUSTON REFINING LP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,3,0,0,0,0,3,0,0,0
3/1/2022,2018,20190143,16544,30544,OCCIDENTAL CHEMICAL CORP,HVL,INTRASTATE,TEXAS,,0.202,,2.43,0.31,2.942,,,
3/1/2022,2018,20190509,16940,30626,TARGA NGL PIPE LINE CO,HVL,INTERSTATE,LOUISIANA,8.67,1.44,8.99,,0.95,9.94,,,
3/1/2022,2018,20190509,16940,30626,TARGA NGL PIPE LINE CO,HVL,INTERSTATE,TEXAS,13.33,26.53,22.81,4.87,1.17,47.83,,,
3/1/2022,2018,20190509,16940,30626,TARGA NGL PIPE LINE CO,HVL,INTRASTATE,TEXAS,125.8,63.43,97.13,2.8,13.6,176,,,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTERSTATE,COLORADO,0,8.02,2.7,0,0,10.7,,,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTERSTATE,NEW MEXICO,0,51.36,25.1,52.27,0,128.73,,,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTERSTATE,TEXAS,0,31.2,43.57,0,0,74.69,,,
3/1/2022,2018,20190638,17071,30657,BRAVO PIPELINE COMPANY,CO2,INTRASTATE,TEXAS,0,0,0,3.38,0,3.38,,,
3/1/2022,2018,20190627,17059,30658,KERN OIL & REFINING CO.,Crude Oil,INTRASTATE,CALIFORNIA,8.78,10.94,0.26,5,0,16.17,,,
3/1/2022,2018,20190587,17196,30666,"ENMARK ENERGY, INC",CO2,INTRASTATE,MISSISSIPPI,2.24,,,,,2.24,,,
3/1/2022,2018,20190197,16608,30683,WESTLAKE PETROCHEMICALS LLC,HVL,INTRASTATE,LOUISIANA,13.128,0,0,0,1.44,14.568,,,
3/1/2022,2018,20190199,16610,30683,WESTLAKE PETROCHEMICALS LLC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,LOUISIANA,0,0.17,0,0,0.36,0.36,,,
