DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTIUNKWN,PARTIPRE20,PARTI192029,PARTI193039,PARTI194049,PARTI195059,PARTI196069,PARTI197079,PARTI198089,PARTI199099,PARTI200009,PARTI201019,PARTI202029,PARTITOTAL
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,DELAWARE,0,0,0,0,0,0,4.22,0,0,0,0.03,0,,4.25
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,GEORGIA,12.76,0,0,0,0,14.09,368.13,528.37,118,23.3,12.26,1.41,,1078.32
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,LOUISIANA,0,0,0,0,0,0,217.12,239.98,0,15.3,0.4,6.95,,479.75
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MARYLAND,16.13,0,0,17.36,0,0,204.03,0.28,68.48,1.26,0.64,0,,308.18
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSISSIPPI,0.48,0,0,0,0,2.33,157.98,285.78,0,2.52,23.87,1.17,,474.13
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,2.59,0,0,0,0,4.9,141.17,0.07,2.03,1.79,4.54,12.57,,169.66
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,0,0,0,0,0,0.39,5.09,0,0,0.62,0.76,0.07,,6.93
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NORTH CAROLINA,15.98,0,0,0,0,0,373.43,250.52,17.81,3.2,42.5,4.04,,707.48
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,1.53,0,0,0,0,0,36.75,0,0,0,0.06,0.01,,38.35
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,SOUTH CAROLINA,8.99,0,0,0,0,0,179.71,145.56,0,33.21,9.53,0.04,,377.04
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,TENNESSEE,9.82,0,0,0,0,0,232.52,137.46,38.48,19.05,44.35,0.16,,481.84
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,TEXAS,12.46,0,0,0,0,9.73,121.27,112.92,0,10.31,0.15,2.86,,269.7
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,VIRGINIA,11.18,0,0,0,0,0,498.88,261.44,7.43,2.06,5.43,5.72,,792.14
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WASHINGTON DC,0,0,0,0.82,0,0,0,0,0,0,0,0,,0.82
3/1/2022,2019,20200088,17305,2714,"DOMINION ENERGY TRANSMISSION, INC.",HVL,INTERSTATE,PENNSYLVANIA,0,0,0,0,0,0,0,10.061,41.296,0.473,0.392,0.109,,52.331
3/1/2022,2019,20200088,17305,2714,"DOMINION ENERGY TRANSMISSION, INC.",HVL,INTERSTATE,WEST VIRGINIA,0,0,0,0,0,0,1.082,2.983,13.997,0.119,0.27,0.003,,18.454
3/1/2022,2019,20200088,17305,2714,"DOMINION ENERGY TRANSMISSION, INC.",HVL,INTRASTATE,WEST VIRGINIA,0,0,0,0,0,0,4.976,0,0.717,0,1.643,0.277,,7.613
3/1/2022,2019,20200089,18043,2714,"DOMINION ENERGY TRANSMISSION, INC.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,VIRGINIA,,,,,,,,,,,1.14,,,1.14
