DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1669,LNG-93-96,86282,,CA,95991,In Service,3/20/2014,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1670,LNG-94-96,86282,,CA,95991,In Service,6/17/2014,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1671,LNG-95-96,86282,,CA,95991,In Service,6/17/2014,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1672,LNG-99-96,86282,,CA,95991,In Service,11/14/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1673,LNG-98-96,86282,,CA,95991,In Service,10/18/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1674,LNG-97-96,86282,,CA,95991,In Service,6/27/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1675,LNG-96-96,86282,,CA,95991,In Service,6/27/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1692,VAP-107,86282,,CA,95991,In Service,7/2/2012,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180495,824,15033,PAIUTE PIPELINE CO,1758,H.G Laub LNG PLANT,17455,LOVELOCK LNG PLANT,NV,89419,In Service,11/30/1982,5,3,105,Liquefaction,Interstate,1,290000,Peak Shaving,,Storage w/ Both,,INITIAL,3/13/2018,3/13/2018
03/01/22,2017,20180434,756,15329,PEOPLES GAS LIGHT & COKE CO,1583,LNG PLANT,89383,,IL,61843,In Service,9/30/1972,10,3,300,Liquefaction,Intrastate,2,580000,Peak Shaving,,Storage w/ Both,,INITIAL,2/6/2018,2/6/2018
